Zeitstempel,E-Mail-Adresse,Name,Produkt A,Produkt B,Produkt C,Produkt D,Produkt E,Produkt F,Produkt G,Produkt H,Produkt I,Produkt J,Produkt K,Kommentar,Bestellbestätigung,Produkt L
20.09.2025 22:34:07,person1@example.com,Person 1,,,1,,,,,,,,Dankeschön 😊,Ich bestelle die vorher geannten Artikel in der angegeben Anzahl,2
20.09.2025 22:39:15,person1@example.com,Person 1,,,,,,,,2,,,,Ich bestelle die vorher geannten Artikel in der angegeben Anzahl,
20.09.2025 23:35:38,person2@example.com,Person 2,,,,,,,,,,1,,Ich bestelle die vorher geannten Artikel in der angegeben Anzahl,
21.09.2025 08:24:08,person3@example.com,Person 3,2,,,,,,,,,1,Danke für die schnelle Unterstützung 🌞,Ich bestelle die vorher geannten Artikel in der angegeben Anzahl,
21.09.2025 17:36:14,person3@example.com,Person 3,,,,,,1,2,3,,3,,Ich bestelle die vorher geannten Artikel in der angegeben Anzahl,
22.09.2025 15:53:45,person4@example.com,Person 4,1,1,,,,,,,,,,Ich bestelle die vorher geannten Artikel in der angegeben Anzahl,
22.09.2025 15:54:13,person5@example.com,Person 5,1,1,,,,2,,,,,,Ich bestelle die vorher geannten Artikel in der angegeben Anzahl,
22.09.2025 15:57:09,person6@example.com,Person 6,,,,,,1,1,,,,,Ich bestelle die vorher geannten Artikel in der angegeben Anzahl,
22.09.2025 16:00:29,person3@example.com,Person 3,2,,,,,,,,,1,,Ich bestelle die vorher geannten Artikel in der angegeben Anzahl,
22.09.2025 16:19:41,person7@example.com,Person 7,2,,,,,,,,1,,,Ich bestelle die vorher geannten Artikel in der angegeben Anzahl,
22.09.2025 16:46:14,person8@example.com,Person 8,,,,,,1,,,,1,,Ich bestelle die vorher geannten Artikel in der angegeben Anzahl,
22.09.2025 17:05:59,person9@example.com,Person 9,1,,,,,,,,,,,Ich bestelle die vorher geannten Artikel in der angegeben Anzahl,
22.09.2025 17:17:40,person10@example.com,Person 10,,,,,,2,,,,,,Ich bestelle die vorher geannten Artikel in der angegeben Anzahl,
22.09.2025 17:22:21,person11@example.com,Person 11,,,,,,1,,,,1,,Ich bestelle die vorher geannten Artikel in der angegeben Anzahl,
22.09.2025 17:29:30,person12@example.com,Person 12,,,,,,,,,,1,,Ich bestelle die vorher geannten Artikel in der angegeben Anzahl,
23.09.2025 09:47:06,person13@example.com,Person 13,1,,1,,,,,,,,,Ich bestelle die vorher geannten Artikel in der angegeben Anzahl,
22.09.2025 18:15:13,person14@example.com,Person 14,,,,,,2,,,,,,Ich bestelle die vorher geannten Artikel in der angegeben Anzahl,
22.09.2025 21:01:52,person15@example.com,Person 15,,,,,,,1,,1,,Ich bestelle die vorher geannten Artikel in der angegeben Anzahl,
22.09.2025 22:30:47,person16@example.com,Person 16,,1,,,,,,,,1,,Ich bestelle die vorher geannten Artikel in der angegeben Anzahl,
22.09.2025 22:50:47,person17@example.com,Person 17,,,,,,,,,,3,,Ich bestelle die vorher geannten Artikel in der angegeben Anzahl,
23.09.2025 04:22:15,person3@example.com,Person 3,3,,,,,,,,,,,Ich bestelle die vorher geannten Artikel in der angegeben Anzahl,
23.09.2025 05:40:03,person5@example.com,Person 5,,1,1,,,2,,,,,,Ich bestelle die vorher geannten Artikel in der angegeben Anzahl,
23.09.2025 06:53:28,person17@example.com,Person 17,,,,,,,,,,2,,Ich bestelle die vorher geannten Artikel in der angegeben Anzahl,
23.09.2025 06:28:46,person18@example.com,Person 18,,,,,,,,,1,,,Ich bestelle die vorher geannten Artikel in der angegeben Anzahl,
24.09.2025 07:39:23,person19@example.com,Person 19,,,1,1,1,,,,,,,Ich bestelle die vorher geannten Artikel in der angegeben Anzahl,

